year,neighborhood,Sale Price Per Sq Ft,Gross Rent
2010,Cow Hollow,569.3799679261333,1239
2010,Miraloma Park,680.6087291389301,1239
2010,Pacific Heights,496.5160141469498,1239
2010,Potrero Hill,491.45000385678617,1239
2010,Presidio Heights,549.4179312485746,1239
2010,South Beach,1037.0997886617895,1239
2010,Telegraph Hill,524.7935090952678,1239
2010,Union Square District,569.1934475267735,1239
2011,Cow Hollow,390.5956530284181,1530
2011,Miraloma Park,414.6760647760375,1530
2011,Pacific Heights,509.0214800287398,1530
2011,Potrero Hill,503.13850456030497,1530
2011,Presidio Heights,493.814917282618,1530
2011,South Beach,388.6443367815386,1530
2011,Telegraph Hill,483.4057725178001,1530
2011,Union Square District,302.1232528096913,1530
2012,Cow Hollow,644.8183066758802,2324
2012,Merced Heights,421.1412447061912,2324
2012,Miraloma Park,756.1923725098497,2324
2012,Pacific Heights,586.2182148097696,2324
2012,Potrero Hill,466.6478402167172,2324
2012,Presidio Heights,426.6085920717133,2324
2012,Telegraph Hill,465.8021216317738,2324
2012,Union Square District,445.1967876448792,2324
2013,Cow Hollow,707.4028088888208,2971
2013,Pacific Heights,503.8992613300536,2971
2013,Potrero Hill,598.704795328917,2971
2013,Presidio Heights,512.8402484358224,2971
2013,Telegraph Hill,653.3116166908643,2971
2013,Union Square District,1290.472106646641,2971
2014,Cow Hollow,691.8654114838455,3528
2014,Merced Heights,528.7265413888829,3528
2014,Miraloma Park,1267.7662026328828,3528
2014,Pacific Heights,824.6586936349588,3528
2014,Potrero Hill,1045.2015459222662,3528
2014,Presidio Heights,603.4509968798565,3528
2014,South Beach,524.6293121403909,3528
2014,Telegraph Hill,708.1930316849231,3528
2014,Union Square District,558.2711194060469,3528
2014,Westwood Park,742.9797231632552,3528
2015,Cow Hollow,598.6205414959002,3739
2015,Pacific Heights,910.1876901656898,3739
2015,Potrero Hill,821.3009904764873,3739
2015,Presidio Heights,,3739
2015,Telegraph Hill,996.9902204858652,3739
2015,Union Square District,2258.702831998355,3739
2016,Cow Hollow,1059.0656015492618,4390
2016,Merced Heights,1416.6666666666667,4390
2016,Pacific Heights,996.3893635634032,4390
2016,Potrero Hill,707.6516094320913,4390
2016,Presidio Heights,1465.9685863874345,4390
2016,Telegraph Hill,903.0497705987848,4390
2016,Westwood Park,631.1954258724091,4390
