neighborhood,sale_price_sqr_foot,housing_units,gross_rent,Lat,Lon
Alamo Square,366.02071153227644,378401.0,2817.285714285714,37.791012,-122.4021
Anza Vista,373.38219782647707,379050.0,3031.8333333333335,37.779598,-122.443451
Bayview,204.58862288246596,376454.0,2318.4,37.73467,-122.40106
Bayview Heights,590.7928388746803,382295.0,3739.0,37.72874,-122.41098
Buena Vista Park,452.6805909308441,378076.5,2698.8333333333335,37.76816,-122.43933
Central Richmond,394.42239878005887,378401.0,2817.285714285714,37.77789,-122.44517
Central Sunset,423.6879277015824,378401.0,2817.285714285714,37.74961,-122.48999
Clarendon Heights,487.2448860262576,376454.0,2250.5,37.75331,-122.44703
Corona Heights,587.5390673661739,377232.8,2472.0,37.78553,-122.456
Cow Hollow,665.9640415783227,378401.0,2817.285714285714,37.79298,-122.43579
Croker Amazon,303.00418440849427,378076.5,2698.8333333333335,37.7228,-122.43869
Diamond Heights,434.99173944522124,375480.5,2016.0,37.72863,-122.44305
Duboce Triangle,502.59915555623616,378401.0,2780.25,37.76964,-122.42611
Eureka Valley/Dolores Heights,642.2486706357391,378401.0,2817.285714285714,37.75554,-122.43779
Excelsior,388.7659270023075,379050.0,3031.8333333333335,37.72874,-122.41098
Financial District North,391.36253308010487,378401.0,2817.285714285714,37.79101,-122.4021
Financial District South,455.83621223779153,377232.8,2472.0,37.79101,-122.4021
Forest Knolls,321.84083657398736,374507.0,1781.5,37.75706,-122.45509
Glen Park,623.8261775374349,378725.5,2899.5,37.72863,-122.44305
Golden Gate Heights,639.3935574881154,377622.2,2601.4,37.757912,-122.46402
Haight Ashbury,449.5447622856192,378401.0,2817.285714285714,37.76525,-122.43596
Hayes Valley,355.93282794805776,378401.0,2817.285714285714,37.76525,-122.43596
Hunters Point,170.62491987132685,377427.5,2489.0,37.72551,-122.37178
Ingleside Heights,384.7979281346047,379374.5,2960.0,37.72116,-122.48707
Inner Mission,397.67371473613446,378401.0,2817.285714285714,37.75416,-122.41947
Inner Parkside,519.3856038526768,379861.25,3224.0,37.74961,-122.48999
Inner Richmond,378.59431396136455,378401.0,2817.285714285714,37.769112,-122.483566
Inner Sunset,413.66751546215943,378401.0,2817.285714285714,37.74961,-122.48997
Jordan Park/Laurel Heights,529.3841850673389,378401.0,2817.285714285714,37.78553,-122.456
Lake --The Presidio,409.95435219297514,377427.5,2555.1666666666665,37.80152,-122.45457
Lone Mountain,478.2285530213679,377427.5,2555.1666666666665,37.7789,-122.45496
Lower Pacific Heights,539.237968878326,378401.0,2817.285714285714,37.79298,-122.43579
Marina,583.7492694814548,378401.0,2817.285714285714,37.79972,-122.46689
Merced Heights,788.8448175872469,380348.0,3414.0,37.71993,-122.46595
Midtown Terrace,550.5103482917151,377427.5,2647.5,37.75331,-122.44703
Miraloma Park,779.810842264425,375967.25,2155.25,37.73415,-122.457
Mission Bay,566.1922135483312,377752.0,2663.6666666666665,37.78323,-122.40065
Mission Dolores,418.9156225067234,377427.5,2555.1666666666665,37.75184,-122.42522
Mission Terrace,523.4662013248023,379569.2,3173.4,37.72863,-122.44305
Nob Hill,458.2040944846015,378401.0,2817.285714285714,37.79298,-122.43579
Noe Valley,542.4429128151736,378401.0,2817.285714285714,37.75331,-122.44703
North Beach,411.646875881678,379179.8,2990.8,37.80055,-122.40433
North Waterfront,498.2697550078768,378401.0,2818.4,37.80055,-122.40433
Oceanview,330.0973846552545,377103.0,2434.0,37.71993,-122.46595
Outer Mission,242.37095202049665,379374.5,2995.75,37.7228,-122.43869
Outer Parkside,485.0270126111035,378401.0,2817.285714285714,37.7517,-122.446
Outer Sunset,394.21903228550775,378401.0,2817.285714285714,37.74961,-122.48999
Pacific Heights,689.5558168113663,378401.0,2817.285714285714,37.79298,-122.43579
Park North,373.732856371763,378401.0,2817.285714285714,37.72838,-122.47851
Parkside,336.172661037069,377427.5,2555.1666666666665,37.74961,-122.48999
Parnassus/Ashbury Heights,632.740453508577,378401.0,2817.285714285714,37.76355,-122.45765
Portola,327.11392534647274,376454.0,2318.4,37.73467,-122.40106
Potrero Hill,662.0136128276529,378401.0,2817.285714285714,37.73196,-122.38324
Presidio Heights,675.3502120510033,378401.0,2817.285714285714,37.78553,-122.456
Russian Hill,608.9832172374425,378401.0,2817.285714285714,37.79298,-122.43579
Silver Terrace,170.2925485152069,380348.0,3528.0,37.73467,-122.40106
South Beach,650.1244791945729,375805.0,2099.0,37.78323,-122.40065
South of Market,570.2714266991687,378401.0,2817.285714285714,37.79101,-122.4021
Sunnyside,528.3183317138463,378725.5,2899.5,37.73415,-122.457
Telegraph Hill,676.5065775293255,378401.0,2817.285714285714,37.80055,-122.40433
Twin Peaks,469.39862649935156,378401.0,2817.285714285714,37.753311,-122.447029
Union Square District,903.9932576720645,377427.5,2555.1666666666665,37.79101,-122.4021
Van Ness/ Civic Center,404.1501801622257,378401.0,2817.285714285714,37.77951,-122.42022
Visitacion Valley,301.46617997450267,381321.5,3657.0,37.72874,-122.41098
West Portal,498.48848482950103,376940.75,2515.5,37.74026,-122.46388
Western Addition,307.5622009799608,377427.5,2555.1666666666665,37.79298,-122.43579
Westwood Highlands,533.7039354359513,376454.0,2250.5,37.7347,-122.456854
Westwood Park,687.0875745178322,382295.0,3959.0,37.73415,-122.457
Yerba Buena,576.709848378276,377427.5,2555.1666666666665,37.79298,-122.39636
